This Week's Date,11/2,11/2,11/3,11/4,11/5,11/6,11/7,11/8,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Misses,Total,
,,,,,,,,,,,
,,11/3,11/4,11/5,11/6,11/7,11/8,11/9,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Misses,Total,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2,,,X,,,,X,,0,
,Strength Work Outs x2,,,,X,X,,,,0,
,"Weeknight Drinking x1, Max 2 Drinks",,1,1,1,,1,1,,5,
,"Weekend Drinking: Max 8 drinks, max 4 in 1 day",,,,,,,,,0,
,No Zyns,X,X,X,X,X,1,,,1,
,In bed by 11:30PM on weeknights,X,X,X,X,X,X,X,,0,
,Awake by 7:30AM on weekdays,X,X,X,X,X,1,X,,1,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x4,,,X,X,X,,X,,0,
,Gratitude Journal x7,X,X,X,X,X,X,X,,0,
,Read 50 pages of non-fiction,,,,,,,,,0,
,Max 30 minutes of Instagram per day,X,X,X,X,X,X,X,,0,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",X,X,X,X,X,X,X,,0,
,"Buy lunch max, x2 per weekdays",,X,X,X,X,X,,,0,
,"Buy dinner max, x2 per weekdays",,X,X,X,X,X,,,0,
,"Buy lunch max, x1 per weekend",X,,,,,X,X,,0,
,"Buy dinner max, x1 per weekend",X,,,,,1,X,,1,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,,,,,,,,,
,"Time block each day, intent to better plan day",X,X,X,X,X,1,X,,1,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Finish 1 storyworth for Dad per day,,,,,,,,,,
,Set week specific goals Sunday night,,,,,,,,,,
,,,,,,,,,,,
,Total Strikes,,,,,,,,,9,
,,,,,,,,,,,
,,11/10,11/11,11/12,11/13,11/14,11/15,11/16,,MISSED,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,,,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2,,,,,,,,,,
,Strength Work Outs x2,,,,,,,,,,
,"Weeknight Drinking x1, Max 2 Drinks",,,,,,,,,,
,"Weekend Drinking: Max 8 drinks, max 4 in 1 day",1,,,,,,,,,
,No Zyns,1,,,,,,,,,
,In bed by 11:30PM on weeknights,,,,,,,,,,
,Awake by 7:30AM on weekdays,,,,,,,,,,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x4,,,,,,,,,,
,Gratitude Journal x7,,,,,,,,,,
,Read 50 pages of non-fiction,,,,,,,,,,
,Max 30 minutes of Instagram per day,,,,,,,,,,
,,,,,,,,,,,
,Budgeting,,,,,,,,,,
,"Buy breakfast, x1 per week",,,,,,,,,,
,"Buy lunch max, x2 per weekdays",,,,,,,,,,
,"Buy dinner max, x2 per weekdays",,,,,,,,,,
,"Buy lunch max, x1 per weekend",,,,,,,,,,
,"Buy dinner max, x1 per weekend",1,,,,,,,,,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,,,,,,,,,
,"Time block each day, intent to better plan day",,,,,,,,,,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Finish 1 storyworth for Dad per day,,,,,,,,,,
,Set week specific goals Sunday night,,,,,,,,,,
,,,,,,,,,,,
,Week Specific ,,,,,,,,,,
,Send in passport info,,,,,,,,,,
,Plan proposal,,,,,,,,,,
,Call museum,,,,,,,,,,
,Book dinner res for 8,,,,,,,,,,
,Call Barry and Deb,,,,,,,,,,
,Book hotel in city,,,,,,,,,,
,Book brunch next morning ,,,,,,,,,,
,Book photographer,,,,,,,,,,
,,,,,,,,,,,
,,11/17,11/18,11/19,11/20,11/21,11/22,11/23,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Misses,Total,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2,,,,,,,,2,2,
,Strength Work Outs x2,,,,X,,,X,,0,
,"Weeknight Drinking x1, Max 2 Drinks",,1,,,,,,,1,
,"Weekend Drinking: Max 8 drinks, max 4 in 1 day",1,,,,,,,,1,
,No Zyns,,,,,,,,,0,
,In bed by 11:30PM on weeknights,,,,,,,,,0,
,Awake by 7:30AM on weekdays,,1,1,1,1,1,,,5,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x4,,,,,,,,,0,
,Gratitude Journal x7,,,,1,,,,,1,
,Read 50 pages of non-fiction,,,,,,,,1,1,
,Max 30 minutes of Instagram per day,,,,,,,1,,1,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,,,,,,,,,
,"Time block each day, intent to better plan day",,1,1,1,1,1,,,5,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Finish 1 storyworth for Dad per day,,,,,,,,,0,
,Set week specific goals Sunday night,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,17,
,,,,,,,,,,,
,,11/24,11/25,11/26,11/27,11/28,11/29,11/30,,MISSED,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Misses,Total,
,Physical Health,,,,,,,,,,
,Cardio Work Outs x2,,,,,,,,2,2,
,Strength Work Outs x2,,,,,,,,,0,
,"Weeknight Drinking x1, Max 2 Drinks",,,,,,,,,0,
,"Weekend Drinking: Max 8 drinks, max 4 in 1 day",,,,,,,,,0,
,No Zyns,,,,,,,,,0,
,In bed by 11:30PM on weeknights,,,,,,,,,0,
,Awake by 7:30AM on weekdays,,1,,,,,,,1,
,,,,,,,,,,,
,Mental Health,,,,,,,,,,
,Meditate x4,,,,,,,,,0,
,Gratitude Journal x7,X,,,,,,,,0,
,Read 50 pages of non-fiction,,,,,,,,1,1,
,Max 30 minutes of Instagram per day,1,,,,,,,,1,
,,,,,,,,,,,
,Budgeting,,,,,,,,,0,
,"Buy breakfast, x1 per week",,,,,,,,,0,
,"Buy lunch max, x2 per weekdays",,,,,,,,,0,
,"Buy dinner max, x2 per weekdays",,,,,,,,,0,
,"Buy lunch max, x1 per weekend",,,,,,,,,0,
,"Buy dinner max, x1 per weekend",,,,,,,,,0,
,,,,,,,,,,,
,Work,,,,,,,,,,
,Begin active work by 9:30AM each day,,,,,,,,,,
,"Time block each day, intent to better plan day",,,,,,,,,0,
,,,,,,,,,,,
,Other,,,,,,,,,,
,Finish 1 storyworth for Dad per day,,,,,,,,,0,
,Set week specific goals Sunday night,,,,,,,,,0,
,,,,,,,,,,,
,,,,,,,,,,5,
,,,,,,,,,,,
,,12/2,12/3,12/4,12/5,12/6,12/7,12/8,,,
,,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Misses,Total,
