Category,Goal,Total Strikes,Weeks Tracked,First Seen,Last Seen,1/12-1/18,1/19-1/25,1/26-2/1,2/2-2/8,2/16-2/22,2/23-3/1,3/2-3/8,3/9-3/15,3/16-3/22,3/23-3/30,3/30 - 4/5,4/6 - 4/12,4/13 - 4/19,4/20 - 4/26,4/27 - 5/3,5/4 - 5/10,5/11 - 5/17,5/18 - 5/24,5/25 - 5/31,6/1 - 6/7,8/3 - 8/9,8/10 - 8/16,8/17 - 8/23,8/24 - 8/30,8/31 - 9/6,9/7 - 9/13,9/21- 9/27,9/29- 10/04,10/05- 10/12,10/11- 10/18,10/19- 10/25,10/26- 11/1,11/2- 11/8,11/9- 11/15,11/16- 11/22,11/23- 11/29,11/30- 12/26,12/7- 12/13,12/14- 12/20,12/21- 12/28,12/28- 1/3
Physical Health,1 night of up to 2 drinks,46,29,4/13 - 4/19,12/28- 1/3,,,,,,,,,,,,,2,2,1,1,1,0,2,0,0,0,0,0,5,4,3,2,3,3,1,2,1,1,0,4,3,2,2,0,1
Physical Health,10 Minute Stretching/Mobility,5,21,8/3 - 8/9,12/28- 1/3,,,,,,,,,,,,,,,,,,,,,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Physical Health,2 Cardio Training ((1 swim),23,18,8/24 - 8/30,12/28- 1/3,,,,,,,,,,,,,,,,,,,,,,,,0,2,3,1,2,2,1,1,1,2,0,2,2,1,2,1,0,0
Physical Health,"2 Strength Training (Each session have 1 heavy, strength building and rest size)",7,38,1/12-1/18,12/28- 1/3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,,,,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Physical Health,Awake by 7:25AM or 7:45 on weekdays; depending on WFH,36,20,1/12-1/18,6/1 - 6/7,5,3,1,3,2,2,1,2,2,1,2,2,1,4,1,2,2,0,0,0,,,,,,,,,,,,,,,,,,,,,
Physical Health,Cardio Work Outs x2 (1 HIIT workout),10,20,1/12-1/18,6/1 - 6/7,1,0,1,0,2,0,0,2,0,1,0,1,0,0,0,1,1,0,0,0,,,,,,,,,,,,,,,,,,,,,
Physical Health,Core Work Out x1 (Can be cardio focused core),12,41,1/12-1/18,12/28- 1/3,1,1,0,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0
Physical Health,In bed by 11:15PM on weeknights,38,41,1/12-1/18,12/28- 1/3,1,3,2,3,1,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,2,0,0,0,1,2,2,3,3,1,0,3,2,1,0,0
Physical Health,No Zyns,21,41,1/12-1/18,12/28- 1/3,0,0,0,0,1,0,0,0,1,2,1,0,2,2,0,1,1,1,2,1,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Physical Health,Triathlon training x4 (One must be an open water swim),1,3,8/3 - 8/9,8/17 - 8/23,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,
Mental Health,Gratitude Journal x7,13,41,1/12-1/18,12/28- 1/3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mental Health,Max 15 minutes of Instagram per day,0,41,1/12-1/18,12/28- 1/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mental Health,Meditate x7,93,41,1/12-1/18,12/28- 1/3,0,2,1,1,0,1,1,2,0,2,2,2,4,4,4,3,2,1,2,1,5,6,6,5,2,7,3,2,1,1,2,3,1,2,2,6,0,1,1,1,1
Mental Health,Read 1 chapter of a parenting book or 1 parenting article,13,41,1/12-1/18,12/28- 1/3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0
Mental Health,Read 10 minutes every morning or evening,8,41,1/12-1/18,12/28- 1/3,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Mental Health,Read 50 pages of non-fiction OR 2 chapters of an audiobook,5,41,1/12-1/18,12/28- 1/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mental Health,Review strikes each night or in morning of following day,42,41,1/12-1/18,12/28- 1/3,3,3,1,0,1,0,0,0,0,0,1,2,1,0,1,0,0,2,3,3,4,2,3,3,0,3,0,1,0,0,0,0,0,0,0,3,0,1,1,0,0
Mental Health,Set weekly goals,0,41,1/12-1/18,12/28- 1/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mental Health,Ten Minutes Written Journaling x2 (Wednesday & Sunday),38,41,1/12-1/18,12/28- 1/3,1,1,1,0,0,1,2,2,1,2,1,2,2,1,1,2,2,2,1,0,2,1,2,0,1,2,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
Budgeting,"Buy breakfast, x1 per week",2,41,1/12-1/18,12/28- 1/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Budgeting,"Buy dinner max, x1 per weekend",1,41,1/12-1/18,12/28- 1/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Budgeting,"Buy dinner max, x2 per weekdays",1,41,1/12-1/18,12/28- 1/3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Budgeting,"Buy lunch max, x1 per weekend",0,41,1/12-1/18,12/28- 1/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Budgeting,"Buy lunch max, x2 per weekdays",2,41,1/12-1/18,12/28- 1/3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Budgeting,Review expenses for 5 minutes at one point in the day,47,41,1/12-1/18,12/28- 1/3,2,3,1,0,2,2,0,0,0,2,0,0,0,0,1,1,0,0,1,0,2,2,1,2,0,4,2,2,2,0,2,1,0,2,0,4,2,1,2,0,1
Work,Begin active work by 9:30AM each day,22,41,1/12-1/18,12/28- 1/3,0,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,0,1,1,3,1,1,1,2,1,0,0,0,0,1,1,0,0,0,0,2,0,0,1,0,0
Work,"Do 15 minutes of AI training (read newsletter, experiment with a new tool, watch a video, etc.)",28,21,8/3 - 8/9,12/28- 1/3,,,,,,,,,,,,,,,,,,,,,0,1,2,2,2,5,0,1,1,1,2,2,1,1,2,3,1,0,1,0,0
